#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
1,USA,"25,579,523","+12,734","427,713 ",+78,"15,332,896","+1,947","9,818,914","26,976","77,024","1,288","297,505,710","895,837","332,097,997 "
2,India,"10,661,138","+5,703","153,462 ",+86,"10,321,966","+5,870","185,710","8,944","7,683",111,"191,766,871","138,196","1,387,641,848 "
3,Brazil,"8,816,254",,"216,475 ",,"7,628,438",,"971,341","8,318","41,311","1,014","28,600,000","134,013","213,411,432 "
4,Russia,"3,719,400","+21,127","69,462 ",+491,"3,131,760","+22,445","518,178","2,300","25,481",476,"99,300,000","680,277","145,969,890 "
5,UK,"3,647,463","+30,004","97,939 ",+610,"1,616,307",,"1,933,217","4,076","53,570","1,438","67,231,066","987,424","68,087,328 "
6,France,"3,035,181",,"72,877 ",,"216,725",,"2,745,579","2,896","46,441","1,115","41,549,254","635,745","65,355,200 "
7,Spain,"2,603,472",,"55,441 ",,N/A,N/A,N/A,"3,908","55,671","1,186","30,165,217","645,038","46,765,031 "
8,Italy,"2,466,813","+11,629","85,461 ",+299,"1,882,074","+10,885","499,278","2,400","40,834","1,415","30,934,035","512,056","60,411,435 "
9,Turkey,"2,424,328",,"24,933 ",,"2,301,861",,"97,534","1,962","28,572",294,"28,348,659","334,105","84,849,626 "
10,Germany,"2,139,766","+2,077","52,579 ",+43,"1,807,500","+12,100","279,687","4,787","25,493",626,"37,449,922","446,176","83,935,370 "
11,Colombia,"2,002,969",,"50,982 ",,"1,822,309",,"129,678","3,482","39,130",996,"9,575,784","187,071","51,188,022 "
12,Argentina,"1,862,192",,"46,737 ",,"1,646,668",,"168,787","3,618","40,991","1,029","5,853,255","128,843","45,429,329 "
13,Mexico,"1,752,347","+20,057","149,084 ","+1,470","1,306,138","+14,198","297,125","5,652","13,511","1,149","4,404,916","33,964","129,694,962 "
14,Poland,"1,475,445","+4,683","35,363 ",+110,"1,230,446","+7,664","209,636","1,482","39,009",935,"8,328,586","220,198","37,823,122 "
15,South Africa,"1,404,839",,"40,574 ",,"1,217,492",,"146,773",546,"23,520",679,"7,947,007","133,051","59,728,863 "
16,Iran,"1,372,977","+5,945","57,383 ",+89,"1,164,794","+6,319","150,800","4,090","16,230",678,"8,634,553","102,067","84,596,958 "
17,Ukraine,"1,191,812","+3,915","21,861 ",+83,"947,514","+5,407","222,437",177,"27,345",502,"6,057,828","138,991","43,584,462 "
18,Peru,"1,093,938",,"39,608 ",,"1,007,748",,"46,582","1,779","32,920","1,192","6,060,702","182,388","33,229,711 "
19,Indonesia,"989,262","+11,788","27,835 ",+171,"798,810","+7,751","162,617",,"3,595",101,"8,754,507","31,817","275,150,984 "
20,Netherlands,"944,042",,"13,510 ",,N/A,N/A,N/A,664,"55,026",787,"6,970,400","406,288","17,156,315 "
21,Czechia,"937,617","+4,222","15,369 ",+52,"814,903",+332,"107,345","1,046","87,462","1,434","5,797,458","540,797","10,720,220 "
22,Canada,"744,948","+2,417","19,024 ",+50,"661,743","+2,759","64,181",868,"19,641",502,"16,996,450","448,117","37,928,559 "
23,Romania,"711,010","+1,816","17,776 ",+54,"653,125","+2,936","40,109","1,020","37,100",928,"5,300,790","276,591","19,164,741 "
24,Chile,"699,110","+4,463","17,933 ",+79,"654,101","+4,299","27,076","1,263","36,396",934,"7,651,856","398,355","19,208,645 "
25,Belgium,"691,854","+2,583","20,726 ",+51,"47,963",+143,"623,165",327,"59,550","1,784","7,869,430","677,341","11,618,113 "
26,Portugal,"624,469",,"10,194 ",,"451,324",,"162,951",720,"61,344","1,001","6,722,120","660,336","10,179,844 "
27,Iraq,"613,763",+893,"12,993 ",+5,"581,542","+1,704","19,228",159,"15,070",319,"5,378,130","132,056","40,726,276 "
28,Israel,"595,097","+1,136","4,361 ",+20,"515,683","+2,751","75,053","1,228","64,701",474,"10,010,946","1,088,431","9,197,590 "
29,Sweden,"547,166",,"11,005 ",,N/A,N/A,N/A,303,"53,989","1,086","4,916,367","485,098","10,134,794 "
30,Pakistan,"532,412","+1,594","11,295 ",+48,"486,489","+1,981","34,628","2,070","2,384",51,"7,642,665","34,227","223,291,362 "
31,Bangladesh,"531,799",+473,"8,023 ",+20,"476,413",+514,"47,363",,"3,211",48,"3,555,558","21,469","165,612,917 "
32,Philippines,"513,619","+1,949","10,242 ",+53,"475,612","+7,729","27,765",727,"4,652",93,"7,563,006","68,505","110,400,232 "
33,Switzerland,"509,279",,"9,064 ",+14,"317,600",,"182,615",309,"58,603","1,043","4,135,714","475,900","8,690,307 "
34,Morocco,"465,769",,"8,128 ",,"441,693",,"15,948",454,"12,535",219,"5,279,309","142,083","37,156,511 "
35,Austria,"404,714","+1,202","7,418 ",+29,"381,654","+1,406","15,642",320,"44,792",821,"4,194,743","464,256","9,035,401 "
36,Serbia,"383,603","+1,318","3,886 ",+18,"31,536",,"348,181",178,"44,004",446,"2,544,497","291,887","8,717,395 "
37,Saudi Arabia,"366,371",+186,"6,352 ",+2,"357,939",+211,"2,080",331,"10,433",181,"11,993,725","341,527","35,117,920 "
38,Hungary,"359,574","+1,257","11,968 ",+64,"241,472","+1,592","106,134",254,"37,275","1,241","3,052,068","316,393","9,646,439 "
39,Japan,"356,074",,"4,935 ",,"285,522",,"65,617","1,009","2,820",39,"6,338,596","50,204","126,256,814 "
40,Jordan,"319,519",,"4,217 ",,"306,246",,"9,056",121,"31,142",411,"3,691,350","359,775","10,260,149 "
41,Panama,"309,851",,"5,034 ",,"256,597",,"48,220",251,"71,183","1,156","1,603,361","368,347","4,352,853 "
42,UAE,"277,955","+3,579",792 ,+9,"251,484","+4,166","25,679",,"27,914",80,"24,557,055","2,466,169","9,957,571 "
43,Lebanon,"276,587",,"2,270 ",,"164,348",,"109,969",843,"40,626",333,"2,483,323","364,761","6,808,091 "
44,Nepal,"269,450",+270,"2,001 ",+7,"264,137",+403,"3,312",,"9,156",68,"2,038,842","69,277","29,430,213 "
45,Georgia,"253,518",+546,"3,055 ",+17,"242,085","+1,456","8,378",,"63,621",767,"2,098,063","526,513","3,984,826 "
46,Ecuador,"238,232",,"14,596 ",,"199,332",,"24,304",490,"13,389",820,"840,804","47,254","17,793,334 "
47,Belarus,"237,611","+1,752","1,649 ",+10,"223,553","+2,641","12,409",,"25,151",175,"4,365,571","462,084","9,447,562 "
48,Slovakia,"236,476","+1,905","4,068 ",+103,"189,959","+3,276","42,449",572,"43,302",745,"1,695,170","310,406","5,461,139 "
49,Azerbaijan,"228,975",+287,"3,082 ",+10,"220,292",+568,"5,601",,"22,469",302,"2,361,552","231,737","10,190,648 "
50,Croatia,"228,920",+352,"4,827 ",+28,"221,097",+560,"2,996",138,"55,959","1,180","1,154,033","282,099","4,090,880 "
51,Bulgaria,"214,696",,"8,811 ",,"178,888",,"26,997",281,"31,031","1,274","1,315,515","190,139","6,918,698 "
52,Dominican Republic,"202,507",,"2,513 ",,"147,147",,"52,847",317,"18,563",230,"995,970","91,297","10,909,138 "
53,Bolivia,"199,989","+1,732","9,927 ",+56,"149,895","+1,145","40,167",71,"17,002",844,"513,830","43,684","11,762,431 "
54,Tunisia,"195,314",,"6,154 ",,"141,862",,"47,298",418,"16,429",518,"809,402","68,084","11,888,205 "
55,Denmark,"194,671",+754,"1,983 ",+14,"180,125","+1,158","12,563",124,"33,542",342,"12,712,457","2,190,395","5,803,729 "
56,Costa Rica,"189,308",,"2,518 ",,"146,448",,"40,342",205,"36,972",492,"567,141","110,763","5,120,315 "
57,Ireland,"186,184",,"2,947 ",,"23,364",,"159,873",218,"37,471",593,"2,922,271","588,123","4,968,808 "
58,Malaysia,"183,801","+3,346",678 ,+11,"141,446","+4,427","41,677",265,"5,638",21,"4,431,316","135,934","32,598,981 "
59,Kazakhstan,"176,974","+1,584","2,403 ",,"159,486",+839,"15,085",221,"9,362",127,"5,942,556","314,372","18,902,961 "
60,Lithuania,"176,624",+773,"2,649 ",+21,"119,085",+192,"54,890",166,"65,401",981,"1,867,777","691,612","2,700,612 "
61,Armenia,"166,036",+127,"3,039 ",+5,"154,708",+173,"8,289",,"55,973","1,024","636,765","214,661","2,966,376 "
62,Kuwait,"161,285",+384,952 ,,"154,253",+507,"6,080",50,"37,456",221,"1,463,176","339,799","4,306,008 "
63,Egypt,"161,143",,"8,902 ",,"126,176",,"26,065",90,"1,558",86,"1,000,000","9,670","103,414,383 "
64,Slovenia,"157,830",+537,"3,360 ",+31,"135,993",+731,"18,477",190,"75,913","1,616","775,918","373,199","2,079,100 "
65,Moldova,"156,202",+265,"3,361 ",+14,"146,948",+542,"5,893",221,"38,773",834,"611,234","151,722","4,028,647 "
66,Palestine,"155,414",+408,"1,791 ",+8,"144,910",+613,"8,713",71,"30,075",347,"986,010","190,807","5,167,567 "
67,Guatemala,"153,890",,"5,456 ",,"137,711",,"10,723",5,"8,502",301,"734,745","40,591","18,101,049 "
68,Greece,"151,646",,"5,622 ",,"139,557",,"6,467",292,"14,590",541,"3,961,627","381,140","10,394,142 "
69,Qatar,"149,019",+247,248 ,,"144,858",+118,"3,913",36,"53,073",88,"1,352,784","481,794","2,807,805 "
70,Honduras,"140,238","+1,056","3,441 ",+2,"60,448",+38,"76,349",215,"14,034",344,"350,529","35,078","9,992,929 "
71,Myanmar,"137,574",+476,"3,062 ",+17,"121,558",+434,"12,954",,"2,519",56,"2,268,947","41,544","54,615,532 "
72,Ethiopia,"133,298",,"2,063 ",,"118,730",,"12,505",239,"1,144",18,"1,913,618","16,419","116,550,414 "
73,Oman,"133,044",+558,"1,521 ",+4,"126,262","+1,532","5,261",26,"25,689",294,"883,340","170,563","5,178,963 "
74,Paraguay,"127,081",,"2,607 ",,"102,344",,"22,130",243,"17,695",363,"627,544","87,380","7,181,779 "
75,Venezuela,"123,245",,"1,142 ",,"115,426",,"6,677",105,"4,341",40,"2,558,488","90,119","28,390,239 "
76,Nigeria,"120,602",,"1,502 ",,"95,901",,"23,199",10,577,7,"1,241,230","5,939","208,986,596 "
77,Bosnia and Herzegovina,"119,420",,"4,555 ",,"90,691",,"24,174",,"36,529","1,393","575,996","176,187","3,269,222 "
78,Libya,"113,688","+1,148","1,763 ",+26,"92,250","+1,298","19,675",,"16,420",255,"621,779","89,804","6,923,760 "
79,Algeria,"105,369",,"2,861 ",,"71,755",,"30,753",42,"2,379",65,,,"44,294,352 "
80,Kenya,"99,983",+85,"1,744 ",+4,"82,969",+33,"15,270",27,"1,837",32,"1,156,106","21,239","54,432,579 "
81,Bahrain,"99,456",,367 ,,"96,112",,"2,977",18,"57,347",212,"2,616,227","1,508,522","1,734,298 "
82,North Macedonia,"90,654",+183,"2,785 ",+6,"78,154","+1,731","9,715",138,"43,514","1,337","442,600","212,449","2,083,326 "
83,China,"88,991",+80,"4,635 ",,"82,556",+30,"1,800",94,62,3,"160,000,000","111,163","1,439,323,776 "
84,Kyrgyzstan,"83,900",+104,"1,400 ",+2,"79,927",+155,"2,573",50,"12,742",213,"643,713","97,762","6,584,521 "
85,Uzbekistan,"78,375",+58,621 ,,"76,815",+37,939,156,"2,323",18,"1,377,915","40,837","33,741,419 "
86,S. Korea,"75,084",+392,"1,349 ",+12,"62,530",+486,"11,205",282,"1,464",26,"5,354,349","104,385","51,294,159 "
87,Albania,"71,441",,"1,310 ",,"43,384",,"26,747",39,"24,840",455,"326,888","113,660","2,876,016 "
88,Latvia,"61,008",+512,"1,111 ",+14,"48,134",,"11,763",95,"32,549",593,"1,107,361","590,808","1,874,316 "
89,Norway,"60,957",+154,544 ,,"49,835",,"10,578",37,"11,195",100,"3,259,678","598,641","5,445,134 "
90,Ghana,"60,115",,361 ,,"56,955",,"2,799",21,"1,912",11,"730,557","23,240","31,435,360 "
91,Singapore,"59,308",+48,29 ,,"59,041",+26,238,,"10,093",5,"6,061,147","1,031,461","5,876,275 "
92,Sri Lanka,"57,936",+349,280 ,,"49,684",+423,"7,972",,"2,699",13,"1,557,630","72,570","21,463,968 "
93,Montenegro,"57,929",,766 ,,"49,150",,"8,013",68,"92,227","1,220","217,411","346,135","628,111 "
94,Afghanistan,"54,672",+77,"2,385 ",+7,"47,298",+355,"4,989",845,"1,387",61,"238,778","6,058","39,417,654 "
95,El Salvador,"53,218",+269,"1,561 ",+10,"46,845",+238,"4,812",106,"8,181",240,"679,964","104,535","6,504,683 "
96,Luxembourg,"49,581",,564 ,,"46,656",,"2,361",14,"78,490",893,"1,836,163","2,906,765","631,686 "
97,Zambia,"45,337",+745,639 ,+12,"35,960","+1,667","8,738",474,"2,428",34,"836,509","44,805","18,670,195 "
98,Finland,"42,580",+246,644 ,,"31,000",,"10,936",24,"7,678",116,"2,725,367","491,448","5,545,590 "
99,Estonia,"40,716",+532,376 ,+8,"30,010",+263,"10,330",45,"30,682",283,"741,055","558,427","1,327,040 "
100,Uganda,"39,044",,317 ,,"13,861",,"24,866",,839,7,"813,825","17,486","46,542,055 "
101,Uruguay,"36,967",,367 ,,"28,547",,"8,053",96,"10,621",105,"795,172","228,463","3,480,534 "
102,Namibia,"32,425",+212,319 ,+2,"30,020",+189,"2,086",29,"12,633",124,"254,703","99,235","2,566,666 "
103,Mozambique,"31,628",,297 ,,"20,002",,"11,329",,996,9,"321,960","10,143","31,742,268 "
104,Zimbabwe,"31,007",,974 ,,"21,377",,"8,656",106,"2,069",65,"269,502","17,986","14,984,341 "
105,Cyprus,"29,887",,183 ,,"2,057",,"27,647",59,"24,653",151,"953,967","786,897","1,212,315 "
106,Cameroon,"29,617",,462 ,,"28,045",,"1,110",46,"1,100",17,"149,000","5,536","26,914,047 "
107,Australia,"28,766",+5,909 ,,"25,985",+11,"1,872",1,"1,121",35,"12,712,654","495,306","25,666,242 "
108,Ivory Coast,"26,612",,145 ,,"24,595",,"1,872",,995,5,"311,656","11,654","26,742,265 "
109,Sudan,"26,279",,"1,603 ",,"15,688",,"8,988",,592,36,,,"44,420,337 "
